"hex","name","ref"
"#F4E593","SMASH137´S POTATO","BLK 1005"
"#FFE668","EASTER YELLOW","BLK 1010"
"#FFDA15","KICKING YELLOW","BLK 1025"
"#FCC000","YELLOW","BLK 1030"
"#F59E01","MELON YELLOW","BLK 1045"
"#D37E0A","TOPAZ","BLK 1050"
"#A34C2E","HAZLE","BLK 1060"
"#6F2F23","PECAN NUT","BLK 1070"
"#612316","MAROON","BLK 1080"
"#E0A600","INDIAN SPICE","BLK 1110"
"#B69822","MASALA","BLK 1120"
"#A18114","DELHI","BLK 1130"
"#6F592A","BOMBAY","BLK 1140"
"#F49F24","JUICE","BLK 2060"
"#EF800D","CLOCKWORK ORANGE","BLK 2070"
"#EA640C","PURE ORANGE","BLK 2075"
"#E85011","HALLOWEEN","BLK 2085"
"#E3001B","CODE RED","BLK 2093"
"#F08C48","TOMORROW","BLK 2110"
"#EB6A27","ATOM´S MEGABLAST","BLK 2120"
"#C4091C","FIRE ROSE","BLK 3020"
"#6D0827","CARDINAL","BLK 3062"
"#3F2224","MERLOT","BLK 3065"
"#331028","CHERRY","BLK 3070"
"#510029","WINEGUM","BLK 3080"
"#F5B8C5","MISS PIGGY","BLK 3100"
"#EF8EB0","PINK CADILLAC","BLK 3120"
"#E7478A","PINK PANTHER","BLK 3130"
"#C1005E","PUNK PINK","BLK 3145"
"#E94190","BEAST","BLK 3148"
"#AA0073","FREAK","BLK 3150"
"#981569","PURPLE RAIN","BLK 3155"
"#AD0F6C","GOOD TIMES","BLK 3160"
"#7E154E","IMPERATOR","BLK 3170"
"#F7C0B7","COCKTAIL","BLK 3200"
"#F29A84","MR. CRAB","BLK 3220"
"#EE8363","SUSHI","BLK 3240"
"#F3A7B1","PATPONG","BLK 3305"
"#EB727B","PINK LEMONADE","BLK 3310"
"#E74963","LOLLIPOP","BLK 3320"
"#BA0F3E","BLOODY MARY","BLK 3330"
"#A8438F","ILLUSION","BLK 3920"
"#9D197E","MAGIC","BLK 3940"
"#C59FC6","BUBBLE BATH","BLK 3995"
"#B68FBC","MS. JACKSON","BLK 4000"
"#8C4A91","MONSTER","BLK 4020"
"#6D2C7E","PIMP VIOLET","BLK 4040"
"#511B57","GALAXY","BLK 4060"
"#B1A0CA","LAVENDER","BLK 4115"
"#A98DBD","BLUE VELVET","BLK 4130"
"#62579B","ROYAL PURPLE","BLK 4155"
"#554189","WIZARD","BLK 4160"
"#0C0940","UNIVERSE","BLK 4182"
"#AA959C","GUT","BLK 4210"
"#836976","KIDNEY","BLK 4230"
"#664B5C","LIVER","BLK 4250"
"#DBB4C6","DUMMY","BLK 4260"
"#986D81","PLUM","BLK 4280"
"#5B2C40","AMETHYST","BLK 4290"
"#CDD2DB","EDELGARD","BLK 4310"
"#A2B0CE","BRUNHILDE","BLK 4320"
"#6F89BC","WALTRAUT","BLK 4330"
"#4D599A","IRMGARD","BLK 4340"
"#6BC8E7","BABY BLUE","BLK 5020"
"#00A2D3","LIGHT BLUE","BLK 5030"
"#0070B8","HORIZON","BLK 5070"
"#054B90","ROYALE BLUE","BLK 5077"
"#00326D","ULTRAMARINE","BLK 5080"
"#00173A","DARK INDIGO","BLK 5092"
"#AEC2C0","DOVE","BLK 5125"
"#52676C","SEAL","BLK 5140"
"#364958","SPACE","BLK 5160"
"#98B0C6","TROUT","BLK 5180"
"#577492","MARLIN","BLK 5185"
"#264B68","WHALE","BLK 5190"
"#00A0B0","ICE BLUE","BLK 5200"
"#97C4E1","LENOR","BLK 5210"
"#5F97C6","BLUE LAGOON","BLK 5230"
"#00579E","KNOCK OUT BLUE","BLK 5250"
"#24327D","SORRENTO BLUE","BLK 5270"
"#E3DE2A","PISTACHIO","BLK 6000"
"#C9D215","ACID","BLK 6005"
"#A9C707","SLIMER","BLK 6010"
"#A1A324","OASIS","BLK 6012"
"#CBD56C","SPRING","BLK 6013"
"#B5CC22","WILD LIME","BLK 6015"
"#51AB27","IRISH GREEN","BLK 6045"
"#008132","BOSTON","BLK 6055"
"#025A27","CELTIC","BLK 6060"
"#003613","BANKNOTE","BLK 6065"
"#003C1A","TAG GREEN","BLK 6070"
"#28C842","HIPPIE","BLK 6075"
"#29B419","MESCALINE","BLK 6080"
"#25900C","WOODSTOCK","BLK 6090"
"#00752D","PLANT","BLK 6095"
"#91D1DA","TIFFANY","BLK 6110"
"#4AADC4","COOL COLOGNE","BLK 6130"
"#0086A1","MERMAID","BLK 6150"
"#013C4A","NEPTUNE","BLK 6170"
"#002A32","RIFFS","BLK 6175"
"#6BDBCF","DROPS","BLK 6180"
"#3DC6AC","NAPPIES","BLK 6190"
"#0C8E76","SURGERY","BLK 6195"
"#9AC776","E2E GREEN","BLK 6210"
"#50AE58","REVOLT GREEN","BLK 6220"
"#007F64","ATLANTIS","BLK 6240"
"#C7DBC8","OLYMP","BLK 6310"
"#B0D7BE","HOPE","BLK 6320"
"#64B699","PATINA","BLK 6330"
"#007764","COPPER GREEN","BLK 6340"
"#D1D5BC","TRABI","BLK 6410"
"#BEC695","BEETLE","BLK 6420"
"#A3AC7C","RESEDA","BLK 6430"
"#A5B29C","FOG","BLK 6510"
"#8C9C7D","MIST","BLK 6520"
"#4C6043","STORM","BLK 6530"
"#D1C782","BAMBOO","BLK 6610"
"#A3903F","HEMP","BLK 6620"
"#8F8534","BOA","BLK 6625"
"#705A39","PAN","BLK 6630"
"#BAB526","PEAR GREEN","BLK 6710"
"#718428","LOST ISLAND","BLK 6720"
"#565B21","TROOPS","BLK 6725"
"#28401C","TOAD","BLK 6730"
"#D6D1AF","FACE","BLK 6905"
"#A2A682","HANNIBAL","BLK 6910"
"#808460","MURDOCK","BLK 6920"
"#3F3E2A","B.A BOSKO","BLK 6930"
"#EEF1E6","JAWS","BLK 7010"
"#C7C8B8","MOUSE","BLK 7030"
"#999A92","SHARK","BLK 7050"
"#5E6460","RHINO","BLK 7070"
"#48403D","ANT","BLK 7080"
"#C7BBA8","GAMBETTA","BLK 7110"
"#9D9283","LENNOX","BLK 7120"
"#7D7268","LAMBRATE","BLK 7130"
"#524038","INDUSTRIILOR","BLK 7140"
"#A69FA2","HOUDINI","BLK 7210"
"#847C82","MORPHEUS","BLK 7220"
"#57515A","NOSTRADAMUS","BLK 7230"
"#A89E9F","GHETTO","BLK 7320"
"#645B5C","DUMBO","BLK 7340"
"#352C2D","SLATE","BLK 7360"
"#F2E8C4","IVORY","BLK 8000"
"#B89247","SAND","BLK 8010"
"#D9B980","BEIGE","BLK 8020"
"#DAAC92","ICED COFFE","BLK 8030"
"#CB916C","CREMINO","BLK 8040"
"#B27A59","FRAPPÉ","BLK 8050"
"#7C5035","CHOCOLATE","BLK 8060"
"#49201A","JAWA","BLK 8070"
"#902C2E","RUST","BLK 8080"
"#C2A875","ARABIAN","BLK 8110"
"#AB9269","GOBI","BLK 8120"
"#90754F","SYRIAN","BLK 8130"
"#9F6B5A","AFTER","BLK 8210"
"#F5AC8C","SNAIL","BLK 8220"
"#DF5105","KOI","BLK 8230"
"#B94709","FALLING","BLK 8240"
"#5B2607","CANDY BAR","BLK 8250"
"#512320","MUD","BLK 8260"
"#030506","BLACK","BLK 9001"
"#FFFFFF","SNOW WHITE","BLK 9100"
"#FBFCF6","WHITE","BLK 9105"
"#F9E900","TRUE YELLOW","BLK TR 1000"
"#FFF562","TRUE YEL. 50%","BLK TR 1010"
"#E51175","TRUE MAGENTA","BLK TR 4000"
"#E75D98","TRUE MAG. 50%","BLK TR 4010"
"#00B8D2","TRUE CYAN","BLK TR 5000"
"#86CEDC","TRUE CYAN 50%","BLK TR 5010"
"#FFDF00","POWER YELLOW","P1000"
"#FF5A10","POWER ORANGE","P2000"
"#E22218","POWER RED","P3000"
"#E64690","POWER PINK","P4000"
"#18225B","POWER VIOLET","P4100"
"#00549D","POWER BLUE","P5000"
"#67B028","POWER GREEN","P6000"
"#999999","SILVER SILVERCHROME",""
"#C0C0C0","OUTL. SILVER OUTLINE SILVER",""
"#806031","COPPER COPPERCHROME","0"
"#826107","GOLD GOLDCHROME",""
