web-scraper-order,web-scraper-start-url,spray-link,spray-link-href,name,hex,ref
"1649325594-142","https://www.sprayplanet.com/collections/hardcore","Black (HRV-9011)","https://www.sprayplanet.com/collections/hardcore/products/hardcore-black","MTN Hardcore Spray Paint - Black (HRV-9011)","Hex #000000","MTN Hardcore Spray Paint - Black (HRV-9011)"
"1649325435-111","https://www.sprayplanet.com/collections/hardcore","Madrid Red (HRV-241)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-madrid-red","MTN Hardcore Spray Paint - Madrid Red (HRV-241)","Hex: #E5352D","MTN Hardcore Spray Paint - Madrid Red (HRV-241)"
"1649325461-115","https://www.sprayplanet.com/collections/hardcore","Flamingo (HRV-259)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-flamingo","MTN Hardcore Spray Paint - Flamingo (HRV-259)","Hex: #FF958E","MTN Hardcore Spray Paint - Flamingo (HRV-259)"
"1649325263-89","https://www.sprayplanet.com/collections/hardcore","Galaxy Violet (HRV-264)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-galaxy-violet","MTN Hardcore Spray Paint - Galaxy Violet (HRV-264)","Hex: #2F2280","MTN Hardcore Spray Paint - Galaxy Violet (HRV-264)"
"1649325296-94","https://www.sprayplanet.com/collections/hardcore","Malva (HRV-256)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-malva","MTN Hardcore Spray Paint - Malva (HRV-256)","Hex: #ACA6D1","MTN Hardcore Spray Paint - Malva (HRV-256)"
"1649325430-110","https://www.sprayplanet.com/collections/hardcore","Soviet Red (HRV-242)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-soviet-red","MTN Hardcore Spray Paint - Soviet Red (HRV-242)","Hex: #8d0000","MTN Hardcore Spray Paint - Soviet Red (HRV-242)"
"1649325457-114","https://www.sprayplanet.com/collections/hardcore","Colorado Red (HRV-33)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-colorado-red","MTN Hardcore Spray Paint - Colorado Red (HRV-33)","Hex: #E74F45","MTN Hardcore Spray Paint - Colorado Red (HRV-33)"
"1649325118-66","https://www.sprayplanet.com/collections/hardcore","NEW Fukushima Blue (HRV-355)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-fukushima-blue","MTN Hardcore Spray Paint - NEW Fukushima Blue (HRV-355)","Hex #8ECFD3","MTN Hardcore Spray Paint - NEW Fukushima Blue (HRV-355)"
"1649324892-25","https://www.sprayplanet.com/collections/hardcore","Forest Green (HRV-251)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-forest-green","MTN Hardcore Spray Paint - Forest Green (HRV-251)","Hex: #46502c","MTN Hardcore Spray Paint - Forest Green (HRV-251)"
"1649325078-58","https://www.sprayplanet.com/collections/hardcore","NEW Iceberg Blue (HRV-357)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-iceberg-blue","MTN Hardcore Spray Paint - NEW Iceberg Blue (HRV-357)","Hex #6EC3BF","MTN Hardcore Spray Paint - NEW Iceberg Blue (HRV-357)"
"1649325518-126","https://www.sprayplanet.com/collections/hardcore","Mango (HRV-207)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-mango","MTN Hardcore Spray Paint - Mango (HRV-207)","Hex: #E77A19","MTN Hardcore Spray Paint - Mango (HRV-207)"
"1649325231-84","https://www.sprayplanet.com/collections/hardcore","NEW Julione Blue (HRV-353)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-julione-blue","MTN Hardcore Spray Paint - NEW Julione Blue (HRV-353)","Hex #40549f","MTN Hardcore Spray Paint - NEW Julione Blue (HRV-353)"
"1649324814-10","https://www.sprayplanet.com/collections/hardcore","Light Grey (HRV-6)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-light-grey","MTN Hardcore Spray Paint - Light Grey (HRV-6)","Hex: #878787","MTN Hardcore Spray Paint - Light Grey (HRV-6)"
"1649325167-73","https://www.sprayplanet.com/collections/hardcore","NEW Himalayan Blue (HRV-13)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-himalayan-blue","MTN Hardcore Spray Paint - NEW Himalayan Blue (HRV-13)","Hex #86CEE1","MTN Hardcore Spray Paint - NEW Himalayan Blue (HRV-13)"
"1649324842-15","https://www.sprayplanet.com/collections/hardcore","NEW Arkalis Grey (HRV-55)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-arkalis-grey","MTN Hardcore Spray Paint - NEW Arkalis Grey (HRV-55)","Hex #EBE6D6","MTN Hardcore Spray Paint - NEW Arkalis Grey (HRV-55)"
"1649324846-16","https://www.sprayplanet.com/collections/hardcore","NEW Bone White (HRV-1013)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-bone-white","MTN Hardcore Spray Paint - NEW Bone White (HRV-1013)","Hex #F3EFD6","MTN Hardcore Spray Paint - NEW Bone White (HRV-1013)"
"1649324834-14","https://www.sprayplanet.com/collections/hardcore","NEW City Grey (HRV-57)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-city-grey","MTN Hardcore Spray Paint - NEW City Grey (HRV-57)","Hex #CABDB0","MTN Hardcore Spray Paint - NEW City Grey (HRV-57)"
"1649325224-83","https://www.sprayplanet.com/collections/hardcore","Babylon Blue (HRV-243)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-babylon-blue","MTN Hardcore Spray Paint - Babylon Blue (HRV-243)","Hex: #574A96","MTN Hardcore Spray Paint - Babylon Blue (HRV-243)"
"1649324969-41","https://www.sprayplanet.com/collections/hardcore","Cologno N. Green (HRV-237)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-cologno-n-green","MTN Hardcore Spray Paint - Cologno N. Green (HRV-237)","Hex: #6a8515","MTN Hardcore Spray Paint - Cologno N. Green (HRV-237)"
"1649324964-40","https://www.sprayplanet.com/collections/hardcore","Lutecia Green (HRV-5)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-lutecia-green","MTN Hardcore Spray Paint - Lutecia Green (HRV-5)","Hex: #005900","MTN Hardcore Spray Paint - Lutecia Green (HRV-5)"
"1649325219-82","https://www.sprayplanet.com/collections/hardcore","NEW Lewis Blue (HRV-32)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-lewis-blue","MTN Hardcore Spray Paint - NEW Lewis Blue (HRV-32)","Hex #40549f","MTN Hardcore Spray Paint - NEW Lewis Blue (HRV-32)"
"1649325538-129","https://www.sprayplanet.com/collections/hardcore","Atacama Yellow (HRV-206)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-atacama-yellow","MTN Hardcore Spray Paint - Atacama Yellow (HRV-206)","Hex: #FBCB8C","MTN Hardcore Spray Paint - Atacama Yellow (HRV-206)"
"1649325584-139","https://www.sprayplanet.com/collections/hardcore","White (HRV-9010)","https://www.sprayplanet.com/collections/hardcore/products/mtn_hardcore_spray_paint_white","MTN Hardcore Spray Paint - White (HRV-9010)","Hex: #FFFFFF","MTN Hardcore Spray Paint - White (HRV-9010)"
"1649325471-117","https://www.sprayplanet.com/collections/hardcore","Prometheus Orange (HRV-210)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-prometheus-orange","MTN Hardcore Spray Paint - Prometheus Orange (HRV-210)","Hex: #910e14","MTN Hardcore Spray Paint - Prometheus Orange (HRV-210)"
"1649325512-125","https://www.sprayplanet.com/collections/hardcore","Mustard (HRV-8023)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-mustard","MTN Hardcore Spray Paint - Mustard (HRV-8023)","Hex: #B9501A","MTN Hardcore Spray Paint - Mustard (HRV-8023)"
"1649324915-30","https://www.sprayplanet.com/collections/hardcore","Element Green (HRV-253)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-element-green","MTN Hardcore Spray Paint - Element Green (HRV-253)","Hex: #c5cc8f","MTN Hardcore Spray Paint - Element Green (HRV-253)"
"1649325577-137","https://www.sprayplanet.com/collections/hardcore","Matte White (HRVMatte White)","https://www.sprayplanet.com/collections/hardcore/products/mtn_hardcore_spray_paint_matte_white","MTN Hardcore Spray Paint - Matte White (HRVMatte White)","Hex: #FFFFFF","MTN Hardcore Spray Paint - Matte White (HRVMatte White)"
"1649325442-112","https://www.sprayplanet.com/collections/hardcore","Vivid Red (HRV-3001)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-vivid-red","MTN Hardcore Spray Paint - Vivid Red (HRV-3001)","Hex: #C90019","MTN Hardcore Spray Paint - Vivid Red (HRV-3001)"
"1649324799-7","https://www.sprayplanet.com/collections/hardcore","Pearl Grey(HRV-7040)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-pearl-grey","MTN Hardcore Spray Paint - Pearl Grey(HRV-7040)","Hex: #7B7C7E","MTN Hardcore Spray Paint - Pearl Grey(HRV-7040)"
"1649324861-19","https://www.sprayplanet.com/collections/hardcore","NEW Tobacco Brown (HRV-8017)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-tobacco-brown","MTN Hardcore Spray Paint - NEW Tobacco Brown (HRV-8017)","Hex #CCE0AC","MTN Hardcore Spray Paint - NEW Tobacco Brown (HRV-8017)"
