"hex","name","ref"
"#be3819","Orange Phénix","RV-108"
"#e64715","Orange Mars","RV-107"
"#ea640d","Orange","RV-2004"
"#ef8407","Orange Lave","RV-106"
"#f48b1e","Mangue","RV-207"
"#f9a91c","Jaune Moyen","RV-1028"
"#fcbd3a","Pêche","RV-1017"
"#f5a54a","Mandarine","RV-105"
"#f7b060","Orange Solaire","RV-50"
"#fac67e","Orange Plural","RV-103"
"#fddca3","Orange Dalaï","RV-102"
"#ffebc2","Sundance","RV-192"
"#fff9c3","Jaune Ipanema","RV-189"
"#ffef8c","Jaune Fiesta","RV-20"
"#fff058","Jaune Canari","RV-109"
"#fbec2f","Jaune Soufre","RV-267"
"#fedf00","Jaune Clair","RV-1021"
"#f1c700","Eldorado","RV-177"
"#c7b300","Jaune Yosemite","RV-110"
"#a29400","Vert Babel","RV-111"
"#766a10","Vert Mission","RV-112"
"#5e5003","Vert Dragon","RV-113"
"#3d3408","Vert Maya","RV-114"
"#412c13","Vert Gondole","RV-141"
"#503915","Marron Taupe","RV-140"
"#6f5229","Marron Sequoïa","RV-139"
"#99743f","Marrakech","RV-138"
"#bd9b61","Marron Carton","RV-137"
"#d9b365","Marron Inca","RV-136"
"#eadfa8","Marron Safari","RV-135"
"#f3efd6","Blanc Os","RV-1013"
"#f9f6e9","Blanc Malte","RV-190"
"#ffffff","Blanc ","RV-9010"
"#f1e8de","Marron Jaima","RV-191"
"#e8d0b7","Marron Dingo","RV-94"
"#d2a785","Marron Tana","RV-95"
"#cc955e","Montserrat","RV-96"
"#d58b26","Tibet","RV-178"
"#a76225","Moutarde","RV-8023"
"#a0682b","Marron Chiapas","RV-97"
"#a65f2f","Marron Haricot","RV-98"
"#7a3d24","Marron Glacé","RV-99"
"#402009","Marron Café","RV-100"
"#41302a","Marron Chocolat","RV-35"
"#2f1109","Marron Ebène","RV-101"
"#2d0604","Rouge Nuit","RV-77"
"#3a0807","Rouge Cherokee","RV-3007"
"#610819","Rouge Bordeaux","RV-3004"
"#950825","Rouge Clandestin","RV-47"
"#b3061e","Rouge Vif","RV-3001"
"#da000e","Rouge Clair","RV-3020"
"#d52f25","Rouge Sang","RV-116"
"#dc534d","Rouge Fièvre","RV-3017"
"#d3062d","Rouge Madrid","RV-241"
"#ea949d","Tutti Frutti","RV-115"
"#f6c3d3","Chewing Gum","RV-193"
"#fce6eb","Rose Supernova","RV-194"
"#f7c7d7","Rose Tokyo","RV-164"
"#ec7faa","Rose Orchidée","RV-165"
"#e85b99","Rose Erika","RV-4003"
"#bd52a4","Rose Disco","RV-277"
"#e54c9c","Rose Joker","RV-278"
"#de4588","Rose Rosario","RV-279"
"#d90075","Magenta","RV-4010"
"#9a004b","Rouge Açaï","RV-166"
"#6b0037","Rouge Rioja","RV-167"
"#550026","Rouge Colère","RV-168"
"#36001c","Rouge Taurus","RV-169"
"#1e000e","Rouge Stendhal","RV-93"
"#321129","Rouge Gaudi","RV-92"
"#4f1f30","Rouge Pandore","RV-91"
"#582b3a","Rouge Bitacora","RV-90"
"#864a54","Rouge Compact","RV-89"
"#a06c7e","Rose Single","RV-88"
"#ca95a4","Rose Stéréo","RV-87"
"#e3bfc3","Rose Boréal","RV-86"
"#f2dddd","Rose Saudade","RV-196"
"#f8ede7","Marron Penelope","RV-197"
"#efd9d0","Rose Sensible","RV-176"
"#a86059","Marron Chêne","RV-203"
"#9f3d44","Marron Interrail","RV-204"
"#5a1521","Marron Guerrier","RV-205"
"#684445","Marron Mosquito","RV-202"
"#8e6061","Marron Scarlet","RV-201"
"#b59892","Rose Respect","RV-64"
"#e8d6c8","Plancton","RV-200"
"#e9cde4","Violet Avril","RV-321"
"#e5cce1","Violet Shiva","RV-195"
"#d0add2","Violet Arlette","RV-322"
"#c5add0","Violet Persia","RV-170"
"#bc90c1","Violet Mandala","RV-323"
"#c19bcc","Violet Évêque","RV-276"
"#dacbe5","Violet République","RV-310"
"#cdc3e1","Violet Woodstock","RV-311"
"#b194c0","Violet Communauté","RV-171"
"#8c6b98","Violet Raval","RV-275"
"#85577e","Violet Sultan ","RV-283"
"#8270a3","Violet Destin","RV-172"
"#6e5e82","Violet Révérend","RV-274"
"#6b4d8d","Ultraviolet","RV-173"
"#483366","Violet Venus","RV-174"
"#32234e","Violet Electra","RV-175"
"#241c46","Violet Cosmos","RV-28"
"#140632","Violet Vampire","RV-27"
"#c1cae8","Bleu Sagan","RV-312"
"#aebee3","Bleu Martínez","RV-313"
"#9db1dc","Bleu Romarin","RV-314"
"#85a0d3","Bleu Ballerine","RV-315"
"#6386c3","Bleu Marseille","RV-316"
"#616cb1","Bleu Porto","RV-317"
"#3b54a1","Bleu Ween","RV-318"
"#263284","Bleu Touareg","RV-319"
"#302b66","Bleu Mantra","RV-320"
"#010e30","Bleu Marine","RV-5013"
"#042151","Bleu Tornade","RV-154"
"#3e5589","Bleu Babylone","RV-243"
"#003875","Bleu Sombre","RV-5005"
"#005891","Bleu Electrique","RV-30"
"#0074b0","Bleu Europe","RV-152"
"#0098d2","Bleu Liberté","RV-151"
"#44b3df","Bleu Argo","RV-150"
"#8ecae5","Bleu Hydre","RV-149"
"#c4e7f8","Bleu Pluie","RV-184"
"#eaf0f5","Bleu Ange","RV-185"
"#cae4f0","Bleu Barceloneta","RV-156"
"#a2d3ea","Bleu Thalassa","RV-157"
"#7fb8d5","Bleu Persée","RV-158"
"#6ea4be","Bleu Odyssée","RV-159"
"#467289","Bleu Eureka","RV-160"
"#2e4a5b","Bleu Tsunami","RV-161"
"#003447","Bleu Profond","RV-162"
"#00202c","Bleu Poséidon","RV-163"
"#002628","Bleu Hercules","RV-148"
"#003640","Bleu Pegasus","RV-147"
"#2d6a75","Bleu Gloire","RV-146"
"#008691","Bleu Turquoise","RV-5018"
"#007889","Bleu Tramontane","RV-268"
"#169eac","Bleu Genesis","RV-269"
"#00b5be","Bleu Formentera","RV-270"
"#00c6d0","Cyan","RV-245"
"#5bb5b5","Vert Erasmus","RV-145"
"#7bc6c0","Bleu Bali","RV-144"
"#a1d5cf","Vert Lumineux","RV-6027"
"#e1f0e8","Vert Gemini","RV-142"
"#f5faf7","Vert Vierge","RV-186"
"#f1f5df","Vert Vespa","RV-187"
"#d4e19e","Vert Frisco","RV-124"
"#bdd268","Vert Pistache","RV-16"
"#a5b700","Vert Néon","RV-125"
"#81a512","Vert Guacamole","RV-34"
"#2ecd7d","Vert Menthe","RV-272"
"#29be58","Vert Mystique","RV-271"
"#44a347","Vert Hulk","RV-280"
"#4a7518","Vert Vallée","RV-6018"
"#2b491e","Vert Toscane","RV-126"
"#142f0f","Vert Era","RV-127"
"#0f2405","Vert Amazone","RV-6009"
"#131c04","Vert Infini","RV-134"
"#1e2705","Vert Dharma","RV-133"
"#283307","Vert Borneo","RV-132"
"#333b08","Vert Comarca","RV-131"
"#50590d","Vert Euskadi","RV-130"
"#83890e","Vert Krypton","RV-60"
"#afab00","Vert Origan","RV-129"
"#d6e832","Vert Psycho","RV-266"
"#b9bf55","Vert Sonar","RV-265"
"#9cc318","Vert Laser","RV-281"
"#91cc1a","Vert Laos","RV-282"
"#8eca44","Vert Iguane","RV-273"
"#dcd872","Jaune Citron","RV-1016"
"#f2edbe","Vert Brillant","RV-188"
"#b8bb86","Vert Bonsaï","RV-179"
"#8e966e","Vert Thaï","RV-180"
"#47492b","Vert Labyrinthe","RV-181"
"#117774","Vert Béryl","RV-183"
"#009e8f","Vert Emeraude","RV-182"
"#86c8b4","Vert Java","RV-199"
"#fef9e3","Gris Tofu","RV-300"
"#f5efd6","Gris Placebo","RV-301"
"#d8cdc3","Gris Koala","RV-302"
"#bcb2ad","Gris Natif","RV-303"
"#a29690","Gris Balboa","RV-304"
"#c9d2d7","Gris Nuage","RV-305"
"#b7c1cd","Gris Hiver","RV-306"
"#abb5c1","Gris Requin","RV-307"
"#6b7c91","Gris Baleine","RV-308"
"#5e7386","Gris Tchernobyl","RV-309"
"#eef0f1","Gris Stardust","RV-198"
"#dbdddf","Gris Sibérie","RV-7047"
"#cdd0d1","Gris Rita","RV-118"
"#b5b8ba","Gris Perle","RV-7040"
"#898b8e","Gris Londres","RV-119"
"#5b5b5e","Gris Loup","RV-120"
"#48484b","Gris Icare","RV-121"
"#363538","Gris Anthracite","RV-7016"
"#262227","Gris Metropolis","RV-78"
"#000000","Noir","RV-9011"
"#DEFF00","Fluorescent Jaune","Fluo-1"
"#FD6C2D","Fluorescent Orange","Fluo-2"
"#FB2313","Fluorescent Rouge","Fluo-3"
"#FF01D3","Fluorescent Fuchsia","Fluo-4"
"#9701ab","Fluorescent Violet","Fluo-5"
"#0066FF","Fluorescent Bleu","Fluo-6"
"#00FE2A","Fluorescent Vert","Fluo-7"
